"code_id","code_type","code_sub_type","code_no","code_val","code_description","created_date","created_by","last_modified_date","last_modified_by","delete_ind","category","visibility_level","code_name","validation"
34,BOOKING_GENERATION,week_day,1,"2","0:Mon, 1:Tue, 2: Wed, 3:Thu, 4:Fri, 5:Sat, 6:Sun",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,General,"1",Booking Generation/Default Score (week day),"{""type"": ""int"", ""values"": ""0,1,2,3,4,5,6""}"
63,DEFAULT_CW_HOURLY_SALARY,"",4,"20",in pounds,2018-05-10 12:21:00,1,2020-05-17 19:24:15,1,N,General,"1",CW Default Hourly Salary,"{""max"": ""100"", ""min"": ""1"", ""type"": ""float""}"
55,TRAVEL_TIME_GENERATION_ENGINE,app_billing_cycle_date,4,"17","This date will be created after a few dates of your registration. Check ""HERE Account"" and fill this date",2019-09-04 16:05:23,1,2019-09-04 16:05:23,1,N,TravelTime,"1",App Billing Cycle Date,"{""type"": ""datetime""}"
2,CW_CENTRIC_MODE,profit_centric_score,2,"3","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,CW Centric Weights,"1",[CW MODE] Profit Centric Weight,"{""max"": ""10"", ""min"": ""0"", ""type"": ""int""}"
43,MAX_BOOKING_TIME,"",0,"90","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"1",Max Booking Time,"{""max"": ""1440"", ""min"": ""60"", ""type"": ""int""}"
44,MIN_BOOKING_TIME,"",0,"30","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"1",Min Booking Time,"{""max"": ""60"", ""min"": ""10"", ""type"": ""int""}"
57,TRAVEL_TIME_GENERATION_ENGINE,app_id,9,iIeaqEO5EVAxxavekqC2,Here Maps App ID,2019-09-02 17:18:19,1,2020-08-13 16:25:24,1,N,TravelTime,"1",Here Maps App ID,"{}"
65,CLIENT_TIMEZONE,"",3,"0",In minutes,2019-09-02 17:18:33,1,2020-02-26 17:49:05,1,N,General,"1",Client Timezone,"{""max"": ""14"", ""min"": ""-12"", ""type"": ""int""}"
35,BOOKING_GENERATION,duration,3,"7",in days,2018-05-10 12:21:00,1,2019-12-06 10:15:33,1,N,General,"1",Booking Generation Duration,"{""type"": ""int"", ""values"": ""7,14,21""}"
51,CW_SHIFT_GAP,"",2,"180",in minutes,2018-05-10 12:21:00,1,2020-07-23 17:17:18,1,N,Engine,"1",CW Shift Gap,"{""max"": ""3600"", ""min"": ""0"", ""type"": ""int""}"
61,LUNCH_DURATION,"",3,"1",in hours,2018-05-10 12:21:00,1,2019-12-06 10:15:33,1,N,Engine,"1",CW Lunch Duration,"{""max"": ""10"", ""min"": ""0"", ""type"": ""int""}"
45,STEP_BOOKING_TIME,"",0,"15","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"1",Booking Step Size,"{""max"": ""120"", ""min"": ""15"", ""type"": ""int""}"
53,CW_TRAVEL_GAP,"",0,"15",in minutes,2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"1",CW Min Travel Gap,"{""max"": ""60"", ""min"": ""0"", ""type"": ""int""}"
47,UTIL_PENALTY,"",0,"1","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Utilization Rate Penalty,"{}"
50,CW_IDLE_TIME,"",0,"30",in minutes,2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"1",CW Idle Time,"{""max"": ""180"", ""min"": ""0"", ""type"": ""int""}"
49,INEQUALITY_PENALTY,"",0,"1","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Inequality Skew Penalty,"{}"
54,CONFLICT_STEP,"",0,"5","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Default Conflict Step,"{}"
48,PACKING_PRIORITY,"",0,"1","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Packing Priority,"{}"
30,CW_PREF_MATCH_WEIGHTS,No Pets,3,"6","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,CW Centric Weights,"0",[PREF] No Pets,"{}"
23,SU_PREF_MATCH_WEIGHTS,Same Gender,2,"4","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,SU Centric Weights,"0",[PREF] Same Gender,"{}"
24,SU_PREF_MATCH_WEIGHTS,Named Care Worker,3,"10","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,SU Centric Weights,"0",[PREF] Named Care Worker,"{}"
28,CW_PREF_MATCH_WEIGHTS,Non Smoking,1,"6","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,CW Centric Weights,"0",[PREF] Non Smoking,"{}"
29,CW_PREF_MATCH_WEIGHTS,Same Gender,2,"4","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,CW Centric Weights,"0",[PREF] Same Gender,"{}"
25,SU_PREF_MATCH_WEIGHTS,Same Religion,4,"4","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,SU Centric Weights,"0",[PREF] Same Religion,"{}"
27,SU_PREF_MATCH_WEIGHTS,Same Language,6,"6","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,SU Centric Weights,"0",[PREF] Same Language,"{}"
26,SU_PREF_MATCH_WEIGHTS,Same Ethnicity,5,"4","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,SU Centric Weights,"0",[PREF] Same Ethnicity,"{}"
12,CW_PERFORMANCE_WEIGHTS,Performance,1,"8","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,SU Centric Weights,"0",[PREF] Same Gender,"{}"
71,SAME_CW_INTENCETIVE,"",0,"1","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Same Cw Intentive Priority,"{}"
46,TRAVEL_TIME_PENALTY,"",0,"1","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Travel Time Penalty,"{}"
59,LUNCH_START,"",3,"11",start hour,2018-05-10 12:21:00,1,2019-12-06 10:15:33,1,N,Engine,"1",CW Lunch Start,"{""max"": ""24"", ""min"": ""0"", ""type"": ""int""}"
60,LUNCH_END,"",3,"14",end hour,2018-05-10 12:21:00,1,2019-12-06 10:15:33,1,N,Engine,"1",CW Lunch End,"{""max"": ""24"", ""min"": ""0"", ""type"": ""int""}"
89,INEQUALITY_SKEW,"",1,"2","1 to 3",2019-09-02 15:50:31,1,2020-06-19 00:27:05,1,N,Engine,"2",Inequality Skew,"{""max"": ""3"", ""min"": ""1"", ""type"": ""int""}"
77,MAX_SALARY,"",1,"20",in pounds,2018-05-10 12:21:00,1,2019-12-06 10:15:33,1,N,Engine,"1",Max Salary,"{""max"": ""100"", ""min"": ""1"", ""type"": ""float""}"
74,COMMON_CW_INTENCETIVE,"",0,"0.5","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Common Cw Intentive Priority,"{}"
69,CRITICAL_BOOKING_PRIORITY,"",0,"0.25","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Critical Booking Priority,"{}"
70,PRIVATE_BOOKING_PRIORITY,"",0,"0.5","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"0",Private Booking Priority,"{}"
41,INEQUALITY_SKEW_PRIVATE,"",0,"4","1 to 10",2019-09-02 15:50:31,1,2019-12-13 14:25:56,6,N,Engine,"0",Inequality Skew - Private,"{}"
90,LICENSE_PARAMS,Max Hours,1,"1000","1 to 3",2019-09-02 15:50:31,1,2020-06-19 00:27:05,1,N,Engine,"0",License Hours,"{}"
92,LICENSE_PARAMS,Grace Period,1,"14",in days,2019-09-02 15:50:31,1,2020-06-19 00:27:05,1,N,Engine,"0",License Grace Period,"{}"
93,LICENSE_PARAMS,Change Percentage,1,"40",%,2019-09-02 15:50:31,1,2020-06-19 00:27:05,1,N,Engine,"0",License Grace Period,"{}"
94,QUALITY_THRESHOLDS,High,1,"5",out of 10,2019-09-02 15:50:31,1,2020-06-19 00:27:05,1,N,Engine,"0",Higher margin,"{}"
95,QUALITY_THRESHOLDS,Low,1,"2",out of 10,2019-09-02 15:50:31,1,2020-06-19 00:27:05,1,N,Engine,"0",Lower margin,"{}"
76,MIN_SALARY,"",0,"10",in pounds,2018-05-10 12:21:00,1,2019-12-06 10:15:33,1,N,Engine,"1",Min Salary,"{""max"": ""100"", ""min"": ""1"", ""type"": ""float""}"
96,TRAVEL_TIME_GENERATION_ENGINE,max_allowed_area,5,"250",Maximum Allowed Boundary Area,2019-09-02 17:18:19,1,2020-08-12 11:09:27,1,N,TravelTime,"1",Maximum Allowed Boundary Area,"{}"
58,TRAVEL_TIME_GENERATION_ENGINE,app_code,8,Q9lxSfy3wWtyWykXMm-KdA,Here Maps App Code,2019-09-02 17:18:33,1,2020-08-13 16:25:24,1,N,TravelTime,"1",Here Maps App Code,"{}"
91,LICENSE_PARAMS,Expiration,1,"2020-08-27 10:04:28.853757",datetime,2019-09-02 15:50:31,1,2020-08-13 18:04:28,6,N,Engine,"0",License Expiration Date,"{}"
97,TRAVEL_TIME_GENERATION_ENGINE,osuk_api_key,7,kN7fmT6314sn8vbnE6gWyWRLx3OYuvqH,Ordinance Survey UK API Key,2019-09-02 17:18:19,1,2020-08-13 16:57:20,1,N,TravelTime,"1",Ordinance Survey UK API Key,"{}"
